# best_L1 average_L1
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.3159 69.3159
69.1786 69.3156
69.1786 69.2832
