#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         487      1.3169      1.3387   0.0038431
         488     1.31651     1.33865  0.00383549
         489     1.31932     1.33861  0.00382786
         490     1.30046     1.33853  0.00382083
         491     1.30303     1.33846  0.00381374
         492     1.31449     1.33841   0.0038063
         493      1.3292     1.33839  0.00379862
         494     1.33795     1.33839  0.00379093
         495     1.34357      1.3384  0.00378329
         496      1.3333     1.33839  0.00377568
         497     1.32811     1.33837  0.00376813
         498      1.3039      1.3383   0.0037612
         499     1.28023     1.33819  0.00375547
         500     1.27562     1.33806  0.00375004
