#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         407   -0.326904   -0.418773  0.00681866
         408   -0.342475   -0.418586  0.00680451
         409   -0.324393   -0.418356  0.00679177
         410   -0.313582     -0.4181  0.00678001
         411   -0.331395   -0.417889  0.00676679
         412   -0.309208   -0.417625  0.00675551
         413   -0.320093   -0.417389  0.00674328
         414   -0.337921   -0.417197  0.00672972
         415    -0.33133    -0.41699  0.00671668
         416   -0.323623   -0.416766  0.00670429
         417    -0.35748   -0.416624  0.00668972
         418    -0.40379   -0.416593  0.00667378
         419   -0.431405   -0.416628  0.00665795
         420   -0.424313   -0.416647  0.00664212
         421   -0.424384   -0.416665  0.00662637
         422   -0.388435   -0.416598  0.00661101
         423   -0.387817    -0.41653  0.00659573
         424    -0.41884   -0.416536  0.00658017
         425   -0.407203   -0.416514  0.00656473
         426   -0.414668   -0.416509  0.00654932
         427   -0.408215    -0.41649  0.00653401
         428   -0.387586   -0.416422  0.00651909
         429   -0.356894   -0.416284  0.00650537
         430    -0.35789   -0.416148  0.00649166
         431   -0.341646   -0.415975   0.0064789
         432     -0.3868   -0.415907  0.00646425
         433   -0.417216   -0.415911  0.00644933
         434   -0.437722   -0.415961  0.00643466
         435   -0.425096   -0.415982   0.0064199
         436   -0.408741   -0.415965   0.0064052
         437   -0.382354   -0.415888    0.006391
         438   -0.341606   -0.415719  0.00637866
         439   -0.323318   -0.415508   0.0063676
         440   -0.351968   -0.415364  0.00635477
         441   -0.378464    -0.41528  0.00634091
         442   -0.391139   -0.415225   0.0063268
         443   -0.386032    -0.41516  0.00631286
         444   -0.379571   -0.415079  0.00629915
         445   -0.358953   -0.414953  0.00628626
         446   -0.352561   -0.414813  0.00627372
         447   -0.326691   -0.414616  0.00626278
         448   -0.308491   -0.414379  0.00625328
         449   -0.310383   -0.414148  0.00624364
         450   -0.326771   -0.413954  0.00623279
         451   -0.330606   -0.413769  0.00622171
         452   -0.312516   -0.413545  0.00621197
         453   -0.325889   -0.413351  0.00620127
         454   -0.354643   -0.413222  0.00618896
