# SA_step mu sigma
519 0.85580236 0.60390940
520 0.85793360 0.59470506
521 0.85699528 0.58865605
522 0.84763024 0.59286791
523 0.84497727 0.60165176
524 0.83837765 0.59385307
525 0.83837765 0.59385307
526 0.83850840 0.58659703
527 0.83443215 0.58721293
528 0.84185544 0.58870557
529 0.83552111 0.58811776
530 0.83036469 0.59286675
531 0.83132333 0.59028277
532 0.83563887 0.58578543
533 0.83060527 0.59136657
534 0.82612257 0.59615871
535 0.82173895 0.58800168
536 0.82173895 0.58800168
537 0.82173895 0.58800168
538 0.81771751 0.59721672
539 0.81673525 0.59043818
540 0.81019852 0.59209163
541 0.81055919 0.58454236
542 0.80163185 0.58027147
543 0.79204285 0.57918742
544 0.78279586 0.57379596
545 0.77512421 0.56573214
546 0.77069575 0.56519806
547 0.77389305 0.57441962
548 0.76822960 0.57807100
549 0.76283644 0.57932791
550 0.75626055 0.58860571
551 0.76039385 0.57883294
552 0.75810440 0.57607812
553 0.75519890 0.56915121
554 0.75960757 0.56748625
555 0.75088699 0.57272208
556 0.74590216 0.56758666
557 0.74834490 0.57000318
558 0.75043938 0.56862694
559 0.75448179 0.56568545
560 0.76339316 0.56454334
561 0.75830106 0.57178602
562 0.75830106 0.57178602
563 0.75737940 0.56961460
564 0.75702915 0.57599440
565 0.75986495 0.57220878
566 0.76647594 0.58175891
567 0.76057991 0.57802921
568 0.77002131 0.58181483
569 0.77431585 0.58404964
570 0.78128336 0.58568218
571 0.78444415 0.58603499
572 0.77695335 0.59076004
573 0.76895942 0.59964151
574 0.76434425 0.59995352
575 0.76434425 0.59995352
576 0.77407259 0.60050310
577 0.76778613 0.60880002
578 0.77485838 0.61590866
579 0.76811521 0.61117639
580 0.76547870 0.61720408
581 0.75735332 0.61090061
582 0.75835230 0.60526076
583 0.75812443 0.60083606
584 0.76438094 0.60218383
585 0.77400941 0.59444842
586 0.78162103 0.60189921
587 0.78803861 0.59948542
588 0.78750512 0.59719284
589 0.78651703 0.59119759
590 0.79348831 0.59857253
591 0.79196015 0.59834002
592 0.79196015 0.59834002
593 0.79814547 0.59098660
594 0.80242289 0.59380191
595 0.80681422 0.59753984
596 0.80745947 0.58763339
597 0.81134659 0.58154723
598 0.81158630 0.58322058
599 0.80294088 0.58480853
600 0.80113942 0.59380901
601 0.79464430 0.60044866
602 0.78872048 0.59768132
603 0.79007312 0.59199521
604 0.80006756 0.59988932
605 0.79126343 0.59993450
606 0.78280980 0.59883799
607 0.78722321 0.59988114
608 0.78282993 0.59075982
609 0.78352928 0.59780038
610 0.78676920 0.60775140
611 0.78676920 0.60775140
612 0.78018648 0.60298554
613 0.77945730 0.60707047
614 0.78203357 0.61311273
615 0.78174453 0.61195509
616 0.77492998 0.61018024
617 0.77492998 0.61018024
618 0.77492998 0.61018024
619 0.77492998 0.61018024
620 0.77492998 0.61018024
621 0.77492998 0.61018024
622 0.76906691 0.61024395
623 0.77151282 0.61821380
624 0.77043334 0.62781394
625 0.77043334 0.62781394
626 0.77791526 0.62256408
627 0.76990893 0.62389083
628 0.76932407 0.62755964
629 0.77017313 0.62918851
630 0.77401744 0.62243571
631 0.76876373 0.61388423
632 0.76355526 0.61408378
633 0.75997222 0.61774833
634 0.76560290 0.62416373
635 0.77135166 0.62273464
636 0.77001369 0.61354001
637 0.76501859 0.60459102
638 0.75972892 0.60853668
639 0.76963600 0.61163727
640 0.76905663 0.61733231
641 0.76989717 0.62525117
642 0.77808339 0.61978387
643 0.78004409 0.62504741
644 0.78799680 0.61531719
645 0.78899194 0.62067043
646 0.79669889 0.62740673
647 0.79752665 0.61782197
648 0.79453505 0.61772248
649 0.79001830 0.61878639
650 0.78954525 0.61957754
651 0.79484858 0.62397506
652 0.79269524 0.62785323
653 0.80042142 0.63757224
654 0.80223292 0.62879957
655 0.79492824 0.62848774
