#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         387    0.000304    0.102839  0.00689939
         388  0.00072384    0.102947  0.00688245
         389  0.00012544    0.102746  0.00686767
         390  0.00113344    0.103064  0.00685741
         391           0    0.102801  0.00684493
         392           0    0.102538  0.00683249
         393  0.00170496    0.103145    0.006842
         394  0.00047104    0.103123  0.00682467
         395  0.00136896    0.103555  0.00682106
         396  0.00067584    0.103634   0.0068043
         397  0.00102656    0.103891  0.00679198
         398  0.00012544    0.103693   0.0067778
         399  0.00152064    0.104195   0.0067794
         400  0.00160256    0.104736  0.00678399
         401  0.00018624    0.104567  0.00676916
         402           0    0.104307  0.00675731
         403   6.336e-05     0.10408  0.00674437
         404           0    0.103822   0.0067326
         405  0.00036096    0.103744  0.00671642
         406           0    0.103489  0.00670474
         407           0    0.103234  0.00669309
         408           0    0.102981  0.00668146
         409           0     0.10273  0.00666987
         410   6.336e-05     0.10251  0.00665722
         411           0     0.10226  0.00664569
         412   6.336e-05    0.102043  0.00663312
         413  0.00152256    0.102533  0.00663515
         414   6.336e-05    0.102316  0.00662267
         415-1.15143e-15     0.10207   0.0066113
         416  0.00047104    0.102051  0.00659543
         417   6.336e-05    0.101836   0.0065831
         418  0.00152064     0.10232  0.00658511
         419           0    0.102076  0.00657392
         420           0    0.101833  0.00656276
         421    0.001344     0.10223  0.00655915
         422           0    0.101987  0.00654808
         423    0.001024    0.102231  0.00653711
         424  0.00052416    0.102237  0.00652169
         425           0    0.101996  0.00651078
         426  0.00131776    0.102375  0.00650653
         427   6.336e-05    0.102165  0.00649469
         428  0.00018624    0.102014  0.00648128
         429  0.00012544    0.101834  0.00646865
         430  0.00200384    0.102529  0.00649086
         431  0.00047104     0.10251  0.00647583
         432    0.001728    0.103073  0.00648524
         433  0.00012544    0.102893  0.00647276
         434           0    0.102656  0.00646219
         435   6.336e-05    0.102449  0.00645064
         436  0.00052416    0.102454  0.00643585
         437  0.00041664    0.102411  0.00642127
         438           0    0.102177  0.00641087
         439           0    0.101944  0.00640049
         440  0.00161984    0.102449   0.0064058
         441  0.00147456    0.102885  0.00640612
         442           0    0.102652  0.00639586
         443  0.00158976    0.103138  0.00639986
         444  0.00059904    0.103176  0.00638556
         445  0.00185024    0.103775  0.00639931
         446    0.000576    0.103801  0.00638501
         447   6.336e-05    0.103597  0.00637398
         448    0.001344    0.103966  0.00637041
         449    0.001456    0.104383  0.00636985
         450  0.00109824    0.104639  0.00636085
         451   6.336e-05    0.104435  0.00635001
         452           0    0.104204  0.00634016
         453           0    0.103974  0.00633034
         454   6.336e-05    0.103773  0.00631959
         455  0.00164544    0.104268  0.00632507
         456    0.000816    0.104397  0.00631252
         457   6.336e-05    0.104197   0.0063019
         458   6.336e-05    0.103997  0.00629131
         459    0.000304    0.103903  0.00627831
         460  0.00136896    0.104272  0.00627551
         461    0.000816      0.1044   0.0062632
         462           0    0.104174  0.00625372
         463  0.00041664    0.104129  0.00624037
         464  0.00012544    0.103959  0.00622925
         465    0.000816    0.104086  0.00621715
         466  0.00156864    0.104536  0.00622007
         467           0    0.104312  0.00621078
         468  0.00018624    0.104169  0.00619916
         469  0.00109824    0.104415  0.00619083
         470  0.00147456     0.10482  0.00619091
         471  0.00086016    0.104963  0.00617941
         472  0.00012544    0.104794  0.00616863
         473   6.336e-05    0.104599  0.00615867
         474  0.00184576    0.105157  0.00617091
         475   6.336e-05    0.104962  0.00616099
         476-1.15143e-15    0.104742  0.00615199
         477-1.15143e-15    0.104522  0.00614301
         478  0.00154304    0.104949  0.00614498
         479  0.00024576    0.104833  0.00613326
         480           0    0.104614  0.00612437
         481   6.336e-05    0.104423  0.00611462
         482           0    0.104207  0.00610577
         483           0    0.103991  0.00609694
         484   6.336e-05    0.103802  0.00608726
         485  0.00012544     0.10364  0.00607687
         486  0.00143616    0.104018   0.0060761
         487  0.00024576    0.103905  0.00606466
         488  0.00202944    0.104524  0.00608373
         489  0.00018624    0.104386  0.00607284
         490-1.15143e-15    0.104173  0.00606418
         491   6.336e-05    0.103987  0.00605469
         492   6.336e-05    0.103801  0.00604523
         493  0.00156864    0.104227  0.00604795
         494   6.336e-05    0.104042  0.00603854
         495           0    0.103832     0.00603
         496  0.00024576    0.103721  0.00601885
         497  0.00012544    0.103563  0.00600882
         498           0    0.103355  0.00600035
         499           0    0.103148   0.0059919
         500           0    0.102942  0.00598347
         501  0.00012544    0.102786  0.00597354
         502           0    0.102582  0.00596515
         503  0.00012544    0.102427  0.00595528
         504   6.336e-05    0.102249  0.00594613
         505  0.00105664    0.102465  0.00593827
         506-1.15143e-15    0.102263  0.00592999
         507  0.00047104    0.102247  0.00591832
         508  0.00024576    0.102142  0.00590759
         509  0.00094464    0.102313  0.00589844
         510           0    0.102112  0.00589029
         511  0.00062656    0.102158  0.00587893
         512  0.00018624    0.102031  0.00586882
         513   6.336e-05    0.101857  0.00585996
         514  0.00052416    0.101863  0.00584857
         515           0    0.101665  0.00584055
         516  0.00018624     0.10154  0.00583057
         517  0.00041664    0.101505   0.0058194
         518  0.00131776    0.101818  0.00581656
         519  0.00036096     0.10176  0.00580564
         520   6.336e-05    0.101589    0.005797
         521           0    0.101394  0.00578915
         522           0      0.1012  0.00578132
         523  0.00136896     0.10153  0.00577968
         524  0.00154816    0.101927  0.00578227
         525           0    0.101733  0.00577452
         526  0.00072384    0.101815  0.00576412
         527           0    0.101622  0.00575642
         528  0.00077056    0.101721  0.00574638
         529    0.000576    0.101746  0.00573557
         530  0.00018624    0.101625  0.00572604
         531   6.336e-05    0.101457  0.00571771
         532           0    0.101267  0.00571014
         533  0.00285696    0.102149  0.00576714
         534  0.00024576    0.102049   0.0057572
         535   6.336e-05    0.101882  0.00574886
         536    0.000304    0.101806  0.00573865
         537   6.336e-05     0.10164  0.00573036
         538           0    0.101451  0.00572282
         539  0.00018624    0.101332  0.00571344
         540           0    0.101144  0.00570594
         541           0    0.100957  0.00569846
         542           0    0.100771  0.00569099
         543  0.00018624    0.100654  0.00568171
         544  0.00090304    0.100801  0.00567317
         545    0.001456     0.10115   0.0056735
         546  0.00090304    0.101296  0.00566498
         547  0.00077056    0.101392  0.00565545
         548   6.336e-05     0.10123  0.00564744
         549  0.00172224    0.101673  0.00565451
         550  0.00036096     0.10162  0.00564448
         551    0.000432    0.101592   0.0056343
         552  0.00018624    0.101475   0.0056253
         553  0.00012544    0.101337  0.00561682
         554           0    0.101154  0.00560966
         555  0.00024576    0.101061  0.00560034
         556    0.000304    0.100988  0.00559073
         557  0.00129024     0.10127   0.0055878
         558  0.00012544    0.101134  0.00557946
         559           0    0.100953  0.00557241
         560           0    0.100773  0.00556537
         561  0.00036096    0.100722  0.00555568
         562  0.00158976    0.101108  0.00555923
         563-1.15143e-15    0.100929  0.00555226
         564  0.00041664    0.100897   0.0055425
         565  0.00047104    0.100886   0.0055327
         566  0.00155904    0.101258  0.00553546
         567    0.000576    0.101283  0.00552575
         568  0.00047104     0.10127  0.00551604
         569  0.00113344    0.101491  0.00551075
         570  0.00041664    0.101459  0.00550117
         571   6.336e-05    0.101303  0.00549373
         572           0    0.101126  0.00548698
         573     0.00096    0.101285   0.0054797
         574-1.15143e-15    0.101108  0.00547299
         575-1.15143e-15    0.100933   0.0054663
         576  0.00106176    0.101126  0.00546023
         577  0.00090304    0.101264   0.0054525
         578           0    0.101089  0.00544589
         579  0.00090304    0.101226  0.00543821
         580           0    0.101051  0.00543163
         581  0.00012544    0.100921  0.00542386
         582           0    0.100747  0.00541731
         583  0.00086016    0.100869   0.0054094
         584    0.000576    0.100894  0.00540019
         585  0.00012544    0.100764  0.00539251
         586    0.000816    0.100871  0.00538437
         587           0    0.100699  0.00537793
         588  0.00047104    0.100688   0.0053688
         589           0    0.100517   0.0053624
         590           0    0.100347  0.00535602
         591  0.00090304    0.100483  0.00534868
         592           0    0.100313  0.00534234
         593  0.00304384     0.10117   0.0054017
         594   6.336e-05    0.101021  0.00539466
         595  0.00062656    0.101062  0.00538575
         596  0.00157696    0.101422   0.0053887
         597   6.336e-05    0.101273  0.00538173
