#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         506      0.5544    0.228278   0.0383694
         507       0.484    0.228783    0.038297
         508       0.596    0.229506   0.0382285
         509      0.9704    0.230961   0.0381811
         510           1    0.232469    0.038136
         511      0.9904    0.233952   0.0380902
         512      0.9988    0.235446   0.0380451
         513      0.9996    0.236936   0.0380001
         514      0.9924    0.238405   0.0379545
         515           1    0.239884   0.0379096
         516      0.6292    0.240639   0.0378437
         517      0.3236    0.240799   0.0377708
         518      0.8976    0.242067   0.0377192
         519      0.9904    0.243509   0.0376741
         520      0.9996    0.244963   0.0376297
         521           1    0.246412   0.0375853
         522           1    0.247856    0.037541
         523      0.9396    0.249179   0.0374925
         524      0.9104     0.25044   0.0374422
         525           1    0.251868   0.0373981
         526      0.9892     0.25327   0.0373533
         527           1    0.254687   0.0373093
         528      0.9876    0.256075   0.0372644
         529      0.9896    0.257462   0.0372198
         530       0.998    0.258859   0.0371758
         531      0.9996    0.260254   0.0371319
         532           1    0.261644   0.0370881
         533       0.802    0.262658   0.0370324
         534      0.9952     0.26403   0.0369885
         535      0.9992    0.265404   0.0369448
         536      0.9972    0.266769   0.0369011
         537      0.9996    0.268134   0.0368576
         538           1    0.269494   0.0368142
         539      0.9984    0.270847   0.0367708
         540           1    0.272197   0.0367274
         541           1    0.273542   0.0366842
         542           1    0.274883    0.036641
         543      0.9988    0.276216   0.0365977
         544      0.9784    0.277507   0.0365532
         545      0.9044    0.278657   0.0365043
         546        0.98    0.279941     0.03646
         547      0.9888    0.281237   0.0364164
         548      0.9996    0.282548   0.0363735
         549       0.896    0.283666   0.0363244
         550       0.996    0.284961   0.0362814
         551      0.9944    0.286248   0.0362384
         552      0.9988    0.287539   0.0361958
         553      0.9992    0.288826   0.0361532
         554           1     0.29011   0.0361107
         555      0.9984    0.291386   0.0360682
         556      0.9968    0.292655   0.0360256
         557      0.9108    0.293764    0.035978
         558      0.9992    0.295029   0.0359358
         559           1     0.29629   0.0358936
         560           1    0.297546   0.0358515
         561       0.996    0.298791   0.0358092
         562      0.7156    0.299533   0.0357532
         563     -0.0928    0.298836   0.0356964
         564      -0.434    0.297537   0.0356568
         565     -0.5088     0.29611   0.0356222
         566       0.694    0.296813   0.0355662
         567      0.9864    0.298029   0.0355243
         568      0.9944    0.299255   0.0354829
         569      0.9612    0.300418   0.0354396
         570      0.9844    0.301618   0.0353977
         571      0.9996    0.302841   0.0353568
         572           1    0.304059    0.035316
         573      0.5124    0.304423   0.0352563
         574     -0.0076    0.303879    0.035199
         575      0.3816    0.304015   0.0351381
         576      0.9524     0.30514   0.0350951
         577      0.9796    0.306309   0.0350537
         578           1    0.307509   0.0350136
         579      0.9792    0.308669   0.0349724
         580           1    0.309861   0.0349324
         581      0.9992    0.311048   0.0348924
         582           1    0.312232   0.0348525
         583       0.974    0.313367   0.0348112
         584      0.9924    0.314529    0.034771
         585      0.9992      0.3157   0.0347313
         586      0.9772    0.316829   0.0346904
         587           1    0.317993   0.0346508
         588      0.9948    0.319144    0.034611
         589           1    0.320299   0.0345715
         590           1    0.321452   0.0345321
         591      0.9808    0.322567   0.0344917
         592           1    0.323711   0.0344524
         593      0.7672    0.324459   0.0344024
         594     -0.0552     0.32382   0.0343504
         595      0.5872    0.324263   0.0342955
         596      0.7696     0.32501   0.0342461
         597      0.9996     0.32614   0.0342074
         598      0.9992    0.327266   0.0341687
         599      0.9996    0.328388   0.0341301
         600      0.9972    0.329503   0.0340914
         601           1    0.330618   0.0340529
         602      0.9968    0.331725   0.0340144
         603           1    0.332833    0.033976
         604        0.97    0.333888   0.0339361
         605           1    0.334989   0.0338979
         606           1    0.336086   0.0338597
         607      0.9992    0.337179   0.0338215
         608           1    0.338269   0.0337835
         609      0.9996    0.339355   0.0337455
         610           1    0.340438   0.0337075
         611      0.9092    0.341369   0.0336652
         612      0.9836    0.342418   0.0336265
         613      0.9984    0.343488   0.0335887
         614      0.9868    0.344536   0.0335503
         615      0.9996    0.345601   0.0335127
         616      0.9984    0.346661    0.033475
         617           1     0.34772   0.0334375
         618       0.998    0.348772      0.0334
         619           1    0.349824   0.0333626
         620       0.998     0.35087   0.0333251
         621      0.9928    0.351903   0.0332875
         622           1    0.352945   0.0332503
         623      0.9996    0.353983   0.0332131
         624      0.9892    0.355001   0.0331755
         625      0.9784    0.355999   0.0331374
         626      0.9996    0.357027   0.0331004
         627      0.9984     0.35805   0.0330634
         628       0.996    0.359066   0.0330264
         629      0.9892    0.360067   0.0329891
         630      0.9992    0.361082   0.0329523
         631      0.9912    0.362081   0.0329152
         632      0.9976    0.363086   0.0328785
         633           1    0.364092   0.0328419
         634           1    0.365095   0.0328054
         635      0.5956    0.365458   0.0327558
         636     -0.1416    0.364661    0.032714
         637     -0.8696    0.362723   0.0327199
         638          -1    0.360587   0.0327383
         639     -0.9552    0.358528   0.0327518
         640     -0.9876    0.356425   0.0327681
         641          -1    0.354309   0.0327852
         642     -0.9288     0.35231    0.032795
         643      -0.812      0.3505   0.0327939
         644      0.1788    0.350233   0.0327441
         645     -0.0476    0.349616   0.0326991
         646       0.572     0.34996   0.0326503
         647      0.9988    0.350963   0.0326153
         648      0.9948    0.351957   0.0325801
         649           1    0.352955   0.0325452
         650      0.9972    0.353946   0.0325102
         651           1    0.354939   0.0324754
         652      0.9984    0.355926   0.0324406
         653      0.9996    0.356911   0.0324059
         654      0.9908    0.357881   0.0323708
         655      0.9752    0.358823   0.0323351
         656           1    0.359801   0.0323006
         657      0.9996    0.360774   0.0322661
         658           1    0.361746   0.0322317
         659      0.9996    0.362714   0.0321973
         660      0.7812    0.363348   0.0321548
         661           1    0.364311   0.0321205
         662      0.9924     0.36526    0.032086
         663        0.92    0.366097   0.0320485
         664           1    0.367051   0.0320145
         665      0.9984    0.368001   0.0319804
         666      0.9984    0.368947   0.0319464
         667      0.9996    0.369893   0.0319125
         668      0.9104    0.370702    0.031875
         669      0.2944    0.370588   0.0318275
         670      0.4288    0.370675   0.0317802
         671       0.648    0.371088   0.0317355
         672           1    0.372024    0.031702
         673      0.9756    0.372921   0.0316676
         674      0.9948    0.373843   0.0316341
         675           1    0.374771   0.0316008
         676      0.9996    0.375695   0.0315676
         677      0.9948     0.37661   0.0315342
         678      0.5608    0.376881   0.0314889
         679      0.0716    0.376432   0.0314457
         680     -0.1436    0.375667   0.0314087
         681      -0.064    0.375021   0.0313693
         682     -0.2256    0.374141   0.0313356
         683      -0.622    0.372682   0.0313237
         684     -0.9952    0.370682   0.0313416
         685     -0.9996    0.368682   0.0313597
         686          -1    0.366687   0.0313774
         687          -1    0.364698   0.0313947
         688          -1    0.362714   0.0314116
         689     -0.9996    0.360737   0.0314282
         690     -0.9624    0.358819   0.0314411
         691     -0.9924    0.356864   0.0314564
         692          -1    0.354903    0.031472
         693      -0.958    0.353008   0.0314835
         694          -1    0.351059   0.0314985
         695     -0.9396    0.349202   0.0315078
         696     -0.2664    0.348317    0.031475
         697     -0.2044    0.347524   0.0314398
         698     -0.9408    0.345679   0.0314489
         699          -1    0.343753   0.0314628
         700      -0.998    0.341837   0.0314762
         701     -0.9992    0.339924   0.0314893
         702      -0.998    0.338018   0.0315021
         703     -0.5156    0.336803   0.0314807
         704     -0.9924    0.334915   0.0314925
         705     -0.9808    0.333049   0.0315031
         706          -1    0.331161    0.031515
         707     -0.9992    0.329279   0.0315266
         708     -0.9932    0.327411   0.0315373
         709      -0.984    0.325562   0.0315471
         710     -0.9996    0.323695   0.0315578
         711          -1    0.321833   0.0315683
         712     -0.9984    0.319979   0.0315783
         713     -0.9296    0.318227   0.0315827
         714      -0.278    0.317392   0.0315495
         715      -0.042    0.316889   0.0315093
         716     -0.3872    0.315906   0.0314807
         717          -1     0.31407   0.0314902
         718     -0.9996    0.312241   0.0314995
         719     -0.9912    0.310428   0.0315078
         720     -0.6124    0.309146   0.0314901
         721     -0.1384    0.308525   0.0314525
         722      -0.592    0.307278   0.0314337
         723     -0.3392    0.306384   0.0314029
         724     -0.4032    0.305404   0.0313748
         725       0.128    0.305159   0.0313325
         726     -0.3096    0.304312   0.0313008
         727          -1    0.302518   0.0313091
         728          -1    0.300729   0.0313172
         729     -0.9988    0.298947   0.0313249
         730     -0.9996    0.297168   0.0313325
         731     -0.9636    0.295443    0.031337
         732     -0.6928    0.294093   0.0313233
         733     -0.5072       0.293   0.0312996
         734     -0.9344    0.291328   0.0313016
         735     -0.9988    0.289572   0.0313082
         736     -0.9996    0.287821   0.0313146
         737     -0.9872    0.286091   0.0313199
         738       -0.92    0.284456   0.0313201
         739     -0.9996    0.282719   0.0313259
         740     -0.9704    0.281025   0.0313293
         741       -0.99     0.27931   0.0313339
         742          -1    0.277586   0.0313391
         743     -0.9548    0.275927   0.0313408
         744     -0.9944     0.27422   0.0313451
         745     -0.9976    0.272513   0.0313495
         746     -0.7164    0.271187   0.0313355
         747     -0.6448    0.269961   0.0313175
         748     -0.9144    0.268378   0.0313156
         749          -1    0.266684   0.0313196
         750          -1    0.264995   0.0313233
